FlightId,Ordinal,Latitude,Longitude,Altitude,Airspeed
308663982,1,33.339494211389535,-98.87002087740092,32000,600
308663982,2,32.84700000066552,-96.8520000000803,17990,250
308663997,1,33.60412585007196,-98.96550515808798,32000,600
308663997,2,32.89700000057132,-97.03800000055594,17990,250
308664001,1,30.485462060507313,-97.08154288382349,32000,600
308664001,2,29.64499999925312,-95.27900000005832,17990,250
308664022,1,33.94199999979077,-118.40800000696112,17990,250
308664025,1,39.297999999794975,-94.71400000010141,17990,250
308664034,1,41.34805823966737,-90.01925876189625,32000,600
308664034,2,41.982000003935475,-87.90700000077908,17990,250
308668072,1,37.50343245899243,-78.41722053747304,32000,600
308668072,2,38.85200000056298,-77.0379999992274,17990,250
308668076,1,37.425525499829746,-78.28391682826924,32000,600
308668076,2,38.85200000056298,-77.0379999992274,17990,250
308668083,1,39.27159737685508,-102.57821961617532,32000,600
308668083,2,39.8620000003618,-104.6730000003783,17990,250
308668095,1,39.305370528083614,-102.56239671770231,32000,600
308668095,2,39.8620000003618,-104.6730000003783,17990,250
308668111,1,32.86635864091858,-94.94032709247023,32000,600
308668111,2,32.89700000057132,-97.03800000055594,17990,250
308668120,1,32.417572653810225,-95.02305489796356,32000,600
308668120,2,32.89700000057132,-97.03800000055594,17990,250
308668131,1,40.512639690585495,-83.50739263745089,32000,600
308668131,2,42.212000000104005,-83.35300000059857,17990,250
308668187,1,27.628341835578066,-81.11879997188657,32000,600
308668187,2,26.072999999960754,-80.1530000001286,17990,250
308668197,1,26.072999999960754,-80.1530000001286,17990,250
308668268,1,30.441260115974487,-93.45018859677845,32000,600
308668268,2,29.64499999925312,-95.27900000005832,17990,250
308668294,1,37.70588618084668,-78.99491305854502,32000,600
308668294,2,38.94700000063002,-77.45999999891797,17990,250
308668302,1,30.73901434335629,-93.48416437722415,32000,600
308668302,2,29.984000000172546,-95.34100000009067,17990,250
308668308,1,30.725992599751446,-93.47722657362294,32000,600
308668308,2,29.984000000172546,-95.34100000009067,17990,250
308668332,1,38.094349858718715,-85.54401229295979,32000,600
308668332,2,39.716999999312335,-86.29500000009608,17990,250
308668365,1,40.63999999983086,-73.77900000516661,17990,250
308668380,1,33.94199999979077,-118.40800000696112,17990,250
308668383,1,34.128343045018255,-116.30046490756075,32000,600
308668383,2,33.94199999979077,-118.40800000696112,17990,250
308668387,1,34.13192220660159,-116.30089675156239,32000,600
